ticket_id,created_at,channel,customer_tier,language,product_area,subject,description,routed_team,secondary_issue_team,priority,status
TKT-000839,2025-09-27 20:43:18,chat,Pro,French,Customer Portal,compatibility on my account,"CAN SOMEONE HELP WITH THIS? CAN YOU EXPLAIN HOW THIS FEATURE WORKS? AT THE SAME TIME, THE RENEWAL AMOUNT LOOKS DIFFERENT FROM WHAT I EXPECTED. I ONLY NEED A CLEAR UPDATE ON WHAT IS HAPPENING. I WAS HOPING THIS WOULD BE FIXED BY NOW. PLEASE LOOK INTO THIS.",Product Inquiry,Billing,Low,Resolved
TKT-002616,2025-07-26 18:57:56,chat,Basic,English,Subscription Plan,Need an update on this issue,"Good morning, The invoice does not look right to me. It involves subscription plan on my side. I only need a clear update on what is happening. I would appreciate a quick response.",Billing,None,Medium,Open
TKT-000872,2025-05-12 04:54:19,email,Enterprise,English,Subscription Plan,Problem with Subscription Plan,"Hello, I am not sure whether this product supports my use case. It involves subscription plan on my side. I only need a clear update on what is happening. Thanks.",Product Inquiry,None,Medium,Open
TKT-002803,2025-11-03 13:00:21,web_form,Pro,English,Customer Portal,Issue  with  amount  looks  wrong,Can someone help with this? There seems to be a problem with the payment on my account. Please let me know what I should do next.,Billing,None,Medium,Resolved
TKT-001189,2025-10-26 15:32:56,chat,Enterprise,English,Invoice Portal,Can someone help,"Good morning, I noticed an unexpected charge and need clarification. It involves invoice portal on my side. I am using the service on mobile. Please look into this.",Billing,None,High,Open
TKT-000241,2025-02-03 19:44:11,web_form,Pro,English,Starter Kit,refund on my account,This has become a problem for me. I need my money back if this cannot be resolved. It involves starter kit on my side. This may also be related because delivery is taking longer than expected. I do not know if this should go to billing or support. Please advise.,Refunds & Returns,Orders & Delivery,High,Resolved
TKT-002078,2025-10-05 23:03:01,phone,Free,English,Starter Kit,Question about my account,Can someone help with this? I think the wrong item was sent. I need this resolved as soon as possible. I would appreciate a quick response.,Orders & Delivery,None,Medium,Open
TKT-001316,2025-08-02 06:07:21,phone,Pro,French,Admin Console,Support request,This  looks  like  an  account  access  problem.  This  may  also  be  related  because  this  was  working  before  but  now  it  keeps  failing.  This  happened  shortly  after  I  updated  my  details.  Please  look  into  this.,Account Access,Technical Support,Low,Resolved
TKT-003527,2025-03-02 22:34:15,chat,Pro,English,Customer Portal,NEED HELP WITH CUSTOMER PORTAL,The  password  reset  process  is  not  working.  This  started  after  my  last  purchase.  I  have  already  tried  a  few  times  with  no  success.  Please  look  into  this.,Account Access,None,Medium,Open
TKT-000415,2025-06-29 03:30:15,chat,,English,Starter Kit,compatibility on my account,Can  someone  help  with  this?  I  am  not  sure  whether  this  product  supports  my  use  case.  I  am  using  the  web  version.  Any  help  would  be  appreciated.,Product Inquiry,None,Low,Resolved
TKT-001779,2025-08-11 06:15:42,email,Enterprise,English,Replacement Unit,Need  an  update  on  this  issue,"Hello, I need my money back if this cannot be resolved. This may also be related because the isue seems technical because the same step keeps timing out. This seems linked to my recent order.",Refunds & Returns,Technical Support,Medium,Open
TKT-000466,2025-07-29 18:41:21,web_form,Enterprise,English,missing,Question about Analytics Dashboard,"I am seeing unexpected behaviour in the product. In addition, i want to understand the pricing options better. This started after my last purchase. I was hoping this would be fixed by now.",Technical Support,Product Inquiry,High,Open
TKT-000458,2025-04-12 06:09:53,email,Pro,English,Starter Kit,Please review this request,Can someone help with this? Delivery is taking longer than expected. It involves starter kit on my side. I have already tried a few times with no success.,Orders & Delivery,None,Medium,Open
TKT-000683,2025-04-04 10:29:12,chat,Basic,English,Data Export,Please check this,Could you explain the difference between the available options? I am using the service on mobile. I would appreciate a quick response.,Product Inquiry,None,Medium,Resolved
TKT-001428,2025-06-01 06:15:29,chat,Enterprise,Spanish,Replacement Unit,Follow-up  on  my  previous  issue,"There appears to be an issue with the dispatch. In addition, the product arrived damaged and I need help with next steps. I am using the web version. Any help would be appreciated.",Orders & Delivery,Refunds & Returns,Medium,Open
TKT-002203,2025-11-07 00:38:06,email,Basic,English,Premium Device,Need  an  update,"Hello, Delivery is taking longer than expected. I do not know if this should go to billing or support. This is becoming urgent.",Orders & Delivery,None,High,Resolved
TKT-001865,2025-08-02 20:09:24,email,Free,English,Admin Console,Issue not resolved,,Account Access,None,High,Pending
TKT-002294,2025-07-12 18:43:57,email,Pro,English,Subscription Plan,Issue with recent order still,"The amount shown on the invoice looks wrong. It involves subscription plan on my side. At the same time, tracking has not updated in a while. This happened shortly after I updated my details. pls look into this.",Billing,Orders & Delivery,Medium,Resolved
TKT-000799,2025-07-23 16:10:54,email,Basic,English,Subscription Plan,CAN SOMEONE HELP,I need someone to review the billing on this account. This may also be related because this is more of a general product question. I need this resolved as soon as possible.,Billing,Product Inquiry,Low,Open
TKT-000094,2025-12-04 10:44:06,web_form,Pro,English,Premium Device,probem with Premium Device,"I need to return the item because it is not as expected. At the same time, i cannot tell where the order currently is. I do not know if this should go to billing or support. Please let me know what I should do next.",Refunds & Returns,Orders & Delivery,Medium,Resolved
TKT-000299,2025-05-23 19:17:35,email,Enterprise,English,Starter Kit,Problem with service,"Hi, I am comparing plans and need clarification. This is affecting my work today. Thanks.",Product Inquiry,None,Medium,Open
TKT-000462,2025-02-22 20:46:46,phone,Basic,Spanish,Invoice Portal,information request on my account,This has become a problem for me. I need help understanding whether this is compatible with my setup. It involves invoice portal on my side. I have already tried a few times with no success.,Product Inquiry,None,Medium,Resolved
