ticket_text,actual_team,predicted_team,is_correct,confidence_score,routing_decision
Follow-up on my previous issue,Billing,Account Access,False,0.19283143686202459,Human review
Follow-up on my previous issue,Billing,Account Access,False,0.19283143686202459,Human review
Issue not resolved,Billing,Account Access,False,0.19807722636014832,Human review
NEED AN UPDATE ON THIS ISSUE,Orders & Delivery,Product Inquiry,False,0.20935274018963257,Human review
Need an update on this issue,Product Inquiry,Product Inquiry,True,0.20935274018963257,Human review
isue with recent order,Refunds & Returns,Refunds & Returns,True,0.2148805356651671,Human review
Support request still,Account Access,Billing,False,0.22434362133684965,Human review
Problem with recent activity,Technical Support,Product Inquiry,False,0.2286366916535477,Human review
PLEASE REVIEW THIS REQUEST,Orders & Delivery,Billing,False,0.23650370165066872,Human review
crash on my account,Technical Support,Technical Support,True,0.2525985188646142,Human review
"pls check this Hello, There appears to be an isue with the dispatch. This happened shortly after I updated my details. I would appreciate a quick response.",Orders & Delivery,Orders & Delivery,True,0.2555388201074077,Human review
sync problem on my account,Technical Support,Technical Support,True,0.26823643686281373,Human review
probem with Mobile App,Account Access,Account Access,True,0.2974947246286552,Human review
Problem with service I noticed an unexpected charge and need clarification. This may also be related because i cannot sign in to my account at the moment. This started after my last purchase. This is quite frustrating. Any help would be appreciated.,Billing,Billing,True,0.2981576646320526,Human review
"Need an update on this issue Hello, I have not had an update on my refund yet. In addition, the amount shown on the invoice looks wrong. I only need a clear update on what is happening.",Refunds & Returns,Billing,False,0.30034393834621975,Human review
"Please check this I need to return the item becuase it is not as expected. In addition, i noticed an unexpected charge and need clarification. I noticed this after trying to make a payment. Thanks.",Refunds & Returns,Refunds & Returns,True,0.30337625425993037,Human review
damaged item on my account I need to return the item because it is not as expected. This may also be related because i need someone to review the billing on this account. I am using the service on mobile.,Refunds & Returns,Refunds & Returns,True,0.3173987504160559,Human review
"probem with Premium Device This is more of a general product question. In addition, i am not sure why this payment failed. I have already tried a few times with no success. Thanks.",Product Inquiry,Billing,False,0.31828102575230377,Human review
Need help with Customer Portal,Account Access,Billing,False,0.31991776028186486,Human review
"URGENT - Please check this Good morning, There seems to be a problem with the payment on my account. I am using the service on mobile. Please advise.",Billing,Billing,True,0.32124111254560767,Human review
"Need support urgently Good morning, I cannot sign in to my account at the moment. This may also be related because the app crashes when I try to use this feature. This is becoming urgent.",Account Access,Account Access,True,0.3212754681544448,Human review
"URGENT - Need support urgently I need to return the item because it is not as expected. In addition, the invoice does not look right to me. I noticed this after trying to make a payment. This has been going on since yesterday. I would appreciate a quick response.",Refunds & Returns,Billing,False,0.32201403145397983,Human review
"Issue with failed export Hi team, I cannot sign in to my account at the moment. It involves customer portal on my side. Also, the page is not loading properly and I cannot complete the task. I have already tried a few times with no success.",Account Access,Account Access,True,0.33708378029851843,Human review
Can someone help again,Technical Support,Refunds & Returns,False,0.33850927247015056,Human review
Problem with recent activity The verification step is failing and I need help. This may also be related because the page is not loading properly and I cannot complete the task. pls advise.,Account Access,Account Access,True,0.3406847251270053,Human review
"Problem with recent activity I need help with something. I cannot sign in to my account at the moment. Also, the page is not loading properly and I cannot complete the task. This has been going on since yesterday. please advise.",Account Access,Technical Support,False,0.3450399455626294,Human review
"Follow-up on my previous issue I appear to be locked out and cannot get back in. Also, i am comparing plans and need clarification. I am using the service on mobile. pls let me know what I should do next.",Account Access,Account Access,True,0.3469315470845706,Human review
"Need an update I need help with something. I cannot complete the workflow because something keeps breaking. Also, the verification step is failing and I need help. I have already tried a few times with no success. pls look into this.",Technical Support,Account Access,False,0.34839512095705094,Human review
