ticket_id,created_at,channel,customer_tier,language,product_area,subject,description,routed_team,secondary_issue_team,priority,status,ticket_text,text_length_chars,text_length_words
TKT-000909,2025-01-01 02:04:29,email,Basic,Spanish,Web App,Follow-up on my previous isue,Can someone help with this? Authentication is not going through on my side. It involves web app on my side. I am using the service on mobile. Thanks.,Account Access,Unknown,Low,Pending,Follow-up on my previous isue Can someone help with this? Authentication is not going through on my side. It involves web app on my side. I am using the service on mobile. Thanks.,179,33
TKT-002115,2025-01-01 02:33:29,web_form,Pro,English,Premium Device,Need help with Premium Device,"I think the wrong item was sent. In addition, i need my money back if this cannot be resolved. This happened shortly after I updated my details. This is affecting my work today.",Orders & Delivery,Refunds & Returns,Medium,Open,"Need help with Premium Device I think the wrong item was sent. In addition, i need my money back if this cannot be resolved. This happened shortly after I updated my details. This is affecting my work today.",207,38
TKT-001362,2025-01-01 04:18:46,phone,Free,English,Premium Device,Question about Premium Device,This has become a problem for me. The package is missing and I need an update. It involves premium device on my side. This is becoming urgent.,Orders & Delivery,Unknown,Medium,Resolved,Question about Premium Device This has become a problem for me. The package is missing and I need an update. It involves premium device on my side. This is becoming urgent.,172,31
TKT-001855,2025-01-01 06:50:10,email,Basic,English,Subscription Plan,Problem with Subscription Plan,I  think  I  was  charged  incorrectly  for  this.  It  involves  subscription  plan  on  my  side.  This  may  also  be  related  because  the  login  step  keeps  failing  even  though  my  details  should  be  correct.  This  started  after  my  last  purchase.  This  is  quite  frustrating.  pls  let  me  know  what  I  should  do  next.,Billing,Account Access,Medium,Resolved,Problem with Subscription Plan I think I was charged incorrectly for this. It involves subscription plan on my side. This may also be related because the login step keeps failing even though my details should be correct. This started after my last purchase. This is quite frustrating. pls let me know what I should do next.,323,56
TKT-001842,2025-01-01 09:18:59,email,Basic,English,Unknown,Issue  with  failed  export,"Hi team, This was working before but now it keeps failing. This is quite frustrating. Please let me know what I should do next.",Technical Support,Unknown,Medium,Resolved,"Issue with failed export Hi team, This was working before but now it keeps failing. This is quite frustrating. Please let me know what I should do next.",152,28
TKT-000501,2025-01-01 09:33:36,phone,Pro,English,Starter Kit,URGENT - Need an update on this issue today,"Good morning, I want to know the status of the return request. Please look into this.",Refunds & Returns,Unknown,High,Open,"URGENT - Need an update on this issue today Good morning, I want to know the status of the return request. Please look into this.",129,25
TKT-001472,2025-01-01 10:52:33,email,Pro,Spanish,Admin Console,Issue not resolved,"Good morning, I still cannot access the portal after trying several times. It involves admin console on my side. This may also be related because the issue seems technical because the same step keeps timing out. This has been going on since yesterday. Please let me know what I should do next.",Account Access,Technical Support,High,Open,"Issue not resolved Good morning, I still cannot access the portal after trying several times. It involves admin console on my side. This may also be related because the issue seems technical because the same step keeps timing out. This has been going on since yesterday. Please let me know what I should do next.",312,55
TKT-000808,2025-01-01 12:42:33,phone,Pro,French,Subscription Plan,QUESTION ABOUT SUBSCRIPTION PLAN,"Hi team, I am comparing plans and need clarification. It involves subscription plan on my side. I am using the web version. This is affecting my work today. Please advise.",Product Inquiry,Unknown,Medium,Open,"QUESTION ABOUT SUBSCRIPTION PLAN Hi team, I am comparing plans and need clarification. It involves subscription plan on my side. I am using the web version. This is affecting my work today. Please advise.",204,34
TKT-002623,2025-01-01 14:17:56,chat,Basic,English,Mobile App,Issue with recent order,I need help with something. Authentication is not going through on my side. This may also be related because the page is not loading properly and I cannot complete the task. This happened shortly after I updated my details. I need this resolved as soon as possible. This is becoming urgent.,Account Access,Technical Support,Low,Open,Issue with recent order I need help with something. Authentication is not going through on my side. This may also be related because the page is not loading properly and I cannot complete the task. This happened shortly after I updated my details. I need this resolved as soon as possible. This is becoming urgent.,314,55
TKT-000042,2025-01-01 14:34:50,email,Pro,English,API,Follow-up on my previous issue,"Hi team, This was working before but now it keeps failing. This happened shortly after I updated my details. Please look into this.",Technical Support,Unknown,Medium,Resolved,"Follow-up on my previous issue Hi team, This was working before but now it keeps failing. This happened shortly after I updated my details. Please look into this.",162,28
TKT-003430,2025-01-02 00:27:54,web_form,Basic,English,Admin Console,Need an update please,"Hi, I cannot sign in to my account at the moment. This may also be related because the app crashes when I try to use this feature. I am using the service on mobile. This is quite frustrating.",Account Access,Technical Support,Medium,Open,"Need an update please Hi, I cannot sign in to my account at the moment. This may also be related because the app crashes when I try to use this feature. I am using the service on mobile. This is quite frustrating.",213,42
TKT-002219,2025-01-02 05:13:04,email,Pro,French,Customer Portal,Help needed today,"HI,  I  NEED  SOMEONE  TO  REVIEW  THE  BILLING  ON  THIS  ACCOUNT.  IT  INVOLVES  CUSTOMER  PORTAL  ON  MY  SIDE.  THIS  SEEMS  LINKED  TO  MY  RECENT  ORDER.",Billing,Unknown,Medium,Open,"Help needed today HI, I NEED SOMEONE TO REVIEW THE BILLING ON THIS ACCOUNT. IT INVOLVES CUSTOMER PORTAL ON MY SIDE. THIS SEEMS LINKED TO MY RECENT ORDER.",153,28
TKT-000003,2025-01-02 06:14:54,chat,Basic,French,Customer Portal,,"I need help with something. I noticed an unexpected charge and need clarification. At the same time, i cannot tell where the order currently is. This started after my last purchase. Please advise.",Billing,Orders & Delivery,Medium,Open,"I need help with something. I noticed an unexpected charge and need clarification. At the same time, i cannot tell where the order currently is. This started after my last purchase. Please advise.",196,33
TKT-000577,2025-01-02 07:18:18,email,Pro,English,Invoice Portal,Need an update,I  NEED  HELP  WITH  SOMETHING.  THE  RENEWAL  AMOUNT  LOOKS  DIFFERENT  FROM  WHAT  I  EXPECTED.  THIS  STARTED  AFTER  MY  LAST  PURCHASE.  THIS  IS  QUITE  FRUSTRATING.  PLS  LOOK  INTO  THIS.,Billing,Unknown,Medium,Resolved,Need an update I NEED HELP WITH SOMETHING. THE RENEWAL AMOUNT LOOKS DIFFERENT FROM WHAT I EXPECTED. THIS STARTED AFTER MY LAST PURCHASE. THIS IS QUITE FRUSTRATING. PLS LOOK INTO THIS.,183,31
TKT-000848,2025-01-02 15:48:44,web_form,Enterprise,Spanish,Premium Device,Follow-up on my previous issue,"Good morning, This is more of a general product question. It involves premium device on my side. I noticed this after trying to make a payment. I need this resolved as soon as possible. Please let me know what I should do next.",Product Inquiry,Unknown,Low,Resolved,"Follow-up on my previous issue Good morning, This is more of a general product question. It involves premium device on my side. I noticed this after trying to make a payment. I need this resolved as soon as possible. Please let me know what I should do next.",258,48
TKT-002014,2025-01-02 20:13:31,web_form,Basic,English,Customer Portal,URGENT - Problem with service,"Hi, The invoice does not look right to me. This may also be related because authentication is not going through on my side. Any help would be appreciated.",Billing,Account Access,Medium,Open,"URGENT - Problem with service Hi, The invoice does not look right to me. This may also be related because authentication is not going through on my side. Any help would be appreciated.",184,33
TKT-000865,2025-01-03 00:30:22,email,Pro,English,Mobile App,error on my account,THIS HAS BECOME A PROBLEM FOR ME. THE SYSTEM KEEPS SHOWING AN ERROR WHEN I TRY TO CONTINUE. I AM USING THE SERVICE ON MOBILE. PLEASE LET ME KNOW WHAT I SHOULD DO NEXT.,Technical Support,Unknown,High,Open,error on my account THIS HAS BECOME A PROBLEM FOR ME. THE SYSTEM KEEPS SHOWING AN ERROR WHEN I TRY TO CONTINUE. I AM USING THE SERVICE ON MOBILE. PLEASE LET ME KNOW WHAT I SHOULD DO NEXT.,187,38
TKT-003110,2025-01-03 03:19:09,email,Free,English,Replacement Unit,QUESTION ABOUT REPLACEMENT UNIT,The package is missing and I need an update. It involves replacement unit on my side.,Orders & Delivery,Unknown,Medium,Resolved,QUESTION ABOUT REPLACEMENT UNIT The package is missing and I need an update. It involves replacement unit on my side.,117,20
TKT-003391,2025-01-03 03:50:34,email,Pro,French,Premium Device,Issue with refund,Can someone help with this? I am trying to return this purchase. It involves premium device on my side. I am using the web version. I was hoping this would be fixed by now.,Refunds & Returns,Unknown,Medium,Open,Issue with refund Can someone help with this? I am trying to return this purchase. It involves premium device on my side. I am using the web version. I was hoping this would be fixed by now.,190,37
TKT-000342,2025-01-03 04:52:18,phone,Unknown,English,Invoice Portal,billing issue on my account,There seems to be a problem with the payment on my account. I would appreciate a quick response.,Billing,Unknown,Low,Pending,billing issue on my account There seems to be a problem with the payment on my account. I would appreciate a quick response.,124,23
TKT-002458,2025-01-03 05:48:12,phone,Enterprise,Spanish,Subscription Plan,Please review this request,"The amount shown on the invoice looks wrong. At the same time, i need to return the item because it is not as expected. This started after my last purchase. This is quite frustrating.",Billing,Refunds & Returns,High,Pending,"Please review this request The amount shown on the invoice looks wrong. At the same time, i need to return the item because it is not as expected. This started after my last purchase. This is quite frustrating.",210,38
